epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4080.32,1.12971,0.5451,1.00525,0.97319,0.99189,0.9871,0.77606,1.27982,0.53099,1.11539,0.00029705,0.00029705,0.00029705
43,4177.86,1.1196,0.54616,1.00726,0.97292,0.99174,0.98881,0.78002,1.24346,0.53283,1.091,0.0002921,0.0002921,0.0002921
44,4275.56,1.11683,0.53674,1.00645,0.97257,0.99516,0.98921,0.77758,1.25084,0.53189,1.09163,0.00028715,0.00028715,0.00028715
45,4372.66,1.11516,0.53749,1.00112,0.96807,0.99027,0.98752,0.78393,1.24754,0.53458,1.0873,0.0002822,0.0002822,0.0002822
46,4469.17,1.1151,0.53686,1.00222,0.97386,0.99332,0.98848,0.78484,1.25885,0.52947,1.10135,0.00027725,0.00027725,0.00027725
47,4565.73,1.11034,0.53467,1.00369,0.96961,0.99115,0.98713,0.78342,1.24743,0.53409,1.08815,0.0002723,0.0002723,0.0002723
48,4662.34,1.11516,0.54094,1.00798,0.97228,0.99376,0.98781,0.78363,1.27017,0.51789,1.10233,0.00026735,0.00026735,0.00026735
49,4758.79,1.11792,0.53786,1.00588,0.97258,0.99341,0.9881,0.78358,1.25081,0.52484,1.08883,0.0002624,0.0002624,0.0002624
50,4855.85,1.11263,0.53662,1.00023,0.96976,0.99018,0.98634,0.77708,1.27185,0.52609,1.10187,0.00025745,0.00025745,0.00025745
51,4951.96,1.10946,0.52616,0.99276,0.97268,0.99167,0.98804,0.76669,1.28871,0.54481,1.124,0.0002525,0.0002525,0.0002525
52,5048.39,1.10945,0.53198,1.00413,0.9732,0.99342,0.98805,0.78369,1.25636,0.51812,1.09326,0.00024755,0.00024755,0.00024755
53,5143.8,1.10113,0.52725,0.99332,0.97312,0.99325,0.98957,0.78971,1.25136,0.53514,1.08598,0.0002426,0.0002426,0.0002426
54,5239.77,1.10408,0.53083,1.00765,0.97144,0.99043,0.98739,0.78409,1.25549,0.5273,1.09232,0.00023765,0.00023765,0.00023765
55,5336.13,1.10424,0.52886,1.00239,0.97173,0.99188,0.98872,0.784,1.26658,0.51932,1.09527,0.0002327,0.0002327,0.0002327
56,5432.58,1.10322,0.52782,0.99635,0.96909,0.9917,0.9875,0.7822,1.25811,0.51655,1.09246,0.00022775,0.00022775,0.00022775
57,5528.24,1.09642,0.52335,0.99448,0.97401,0.99375,0.98885,0.78738,1.25386,0.51907,1.09184,0.0002228,0.0002228,0.0002228
58,5623.9,1.10196,0.51956,0.998,0.96848,0.99289,0.98741,0.77953,1.26089,0.52149,1.09511,0.00021785,0.00021785,0.00021785
59,5720.22,1.10075,0.52548,0.99795,0.97229,0.99436,0.98959,0.78689,1.24685,0.52056,1.08278,0.0002129,0.0002129,0.0002129
60,5816.37,1.10189,0.52792,1.00089,0.97202,0.99138,0.98881,0.78825,1.26077,0.53763,1.09119,0.00020795,0.00020795,0.00020795
61,5912.22,1.0942,0.51605,0.99333,0.97377,0.99125,0.98924,0.78626,1.2598,0.53215,1.0947,0.000203,0.000203,0.000203
62,6007.86,1.09361,0.51964,0.99344,0.97104,0.99126,0.98835,0.78721,1.25606,0.51815,1.08959,0.00019805,0.00019805,0.00019805
63,6103.9,1.09491,0.52295,0.99768,0.97253,0.9911,0.9882,0.79172,1.2575,0.51157,1.09125,0.0001931,0.0001931,0.0001931
64,6200.26,1.10416,0.52069,0.99422,0.97259,0.99268,0.98847,0.78479,1.25952,0.51711,1.08998,0.00018815,0.00018815,0.00018815
